ID,ISO_DateTime_UTC,Vessel,Latitude,Longitude,Cruise_type,Cruise_num,Cast,Cast_type,Bottle_number,QF_Niskin_GoFlo,Depth,QF_depth,p1,QF_p1,p2,QF_p2,p3,QF_p3,p4,QF_p4,p5,QF_p5,p6,QF_p6,p7,QF_p7,p8,QF_p8,p9,QF_p9,p10,QF_p10,p11,QF_p11,p12,QF_p12,p13,QF_p13,p14,QF_p14,p15,QF_p15,p16_Chl,QF_p16_Chl,p17_Phae,QF_p17_Phae,p18,QF_p18,p19,QF_p19,p20,QF_p20,p21,QF_p21,yyyymmdd,decy,time
1000108112,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,12,2,1.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.048,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108111,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,11,2,10.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.048,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108110,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,10,2,25.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.059,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108109,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,9,2,50.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.062,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108108,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,8,2,100.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.134,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108107,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,7,2,150.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.047,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108106,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,6,2,200.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.012,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108105,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,5,2,225.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.008,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108104,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,4,2,250.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.007,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
1000108103,1988-10-21T04:55Z,R/V Weatherbird I,31.833,-64.167,BATS Core,10001,81,Hydrocast,3,2,300.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,0.007,2,,9,,9,,9,,9,,9,19881021,1988.80330,455
